name,score,price,url,battery_size,max_dc_charge,miles_per_kwh,range
Toyota Mirai Review,7,65000,https://www.electrifying.com/reviews/toyota/toyota-mirai/,73,151,4.1,500
BMW iX3 Review,7,58850,https://www.electrifying.com/reviews/bmw/ix3/,80,150,3.6,282
Lexus UX300e Review,7,40795,https://www.electrifying.com/reviews/lexus/ux300e/,72,50,3.8,279
Vauxhall Vivaro Electric Review,8,35526,https://www.electrifying.com/reviews/vauxhall/vivaro-e/,62,100,3.0,209
DS 3 E-Tense Review,6,38950,https://www.electrifying.com/reviews/ds/3-e-tense/,54,100,4.6,250
Mercedes EQV Review,8,70655,https://www.electrifying.com/reviews/mercedes/eqv/,90,110,2.3,211
Volkswagen ID.4 Review,7,42640,https://www.electrifying.com/reviews/volkswagen/id-4/,64,125,4.0,349
Polestar 2 Review,8,44950,https://www.electrifying.com/reviews/polestar/2/,73,205,4.5,406
MG ZS EV Review,7,30495,https://www.electrifying.com/reviews/mg/zs-ev/,72,76,3.7,273
Mazda MX-30 Review,5,28995,https://www.electrifying.com/reviews/mazda/mx-30/,35,35,4.2,124
Tesla Model Y Review,9,44990,https://www.electrifying.com/reviews/tesla/model-y/,75,250,4.2,373
Volvo XC40 Recharge Review,7,49950,https://www.electrifying.com/reviews/volvo/xc40-recharge/,78,125,3.3,259
Hyundai Ioniq Electric Review,6,32050,https://www.electrifying.com/reviews/hyundai/ioniq-electric/,73,50,5.1,193
Honda e Review,6,36920,https://www.electrifying.com/reviews/honda/e/,35,65,3.5,137
Renault Zoe Review,6,31195,https://www.electrifying.com/reviews/renault/zoe/,52,22,4.6,238
Renault Twizy Review,6,70860,https://www.electrifying.com/reviews/renault/twizy/,73,2,8.4,56
Renault Kangoo ZE Review,7,24163,https://www.electrifying.com/reviews/renault/kangoo-ze/,33,7,4.4,143
Peugeot E-208 Review,7,28600,https://www.electrifying.com/reviews/peugeot/e208/,51,100,5.2,248
Tesla Model S Review,9,79980,https://www.electrifying.com/reviews/tesla/model-s/,100,250,3.8,405
Kia Soul EV Review,7,32795,https://www.electrifying.com/reviews/kia/soul-ev/,51,80,4.4,280
Jaguar I-Pace Review,9,66350,https://www.electrifying.com/reviews/jaguar/i-pace/,73,104,3.2,292
Tesla Model X Review,9,86200,https://www.electrifying.com/reviews/tesla/model-x/,100,250,3.5,348
Vauxhall Corsa Electric Review,7,32445,https://www.electrifying.com/reviews/vauxhall/corsa-e/,50,100,4.6,246
Volkswagen ID.3 Review,8,35700,https://www.electrifying.com/reviews/volkswagen/id-3/,67,170,4.4,346
Hyundai Kona Electric Review,9,34995,https://www.electrifying.com/reviews/hyundai/kona-ev/,56,101,4.9,321
Nissan Leaf Review,7,28440,https://www.electrifying.com/reviews/nissan/leaf/,39,50,3.8,168
